point_id,district,Total,Exact_Minus_One,Very_Low,Very_High,Minimum,Maximum,Mean,Exact_Minus_One_Percent
P121,Sangli,184,0,0,0,0.057172555476427,0.6062424778938293,0.18060220956154488,0.0
P122,Satara,188,0,0,0,0.0506260208785533,0.7444263100624084,0.283851841484454,0.0
P123,Satara,189,0,0,0,0.0833127349615097,0.7346998453140259,0.3063878318462422,0.0
P124,Satara,189,0,0,0,0.0373692065477371,0.2843822836875915,0.1314889238506713,0.0
P125,Satara,181,0,0,0,0.0004308487696107,0.8580389618873596,0.39836738627189794,0.0
P126,Satara,193,0,0,0,0.2471430748701095,0.7963012456893921,0.48025982730438055,0.0
P127,Satara,187,0,0,0,0.0870552584528923,0.7955206036567688,0.22679142128018767,0.0
P128,Satara,200,0,0,0,0.0845256298780441,0.6382290720939636,0.2010072639212012,0.0
P129,Satara,202,0,0,0,0.0264732912182807,0.6362057328224182,0.22331551648676393,0.0
P130,Satara,191,0,0,0,0.0653343573212623,0.8590729832649231,0.28311271622230866,0.0
P131,Satara,186,0,0,0,0.1499414294958114,0.8640483617782593,0.5883737039021266,0.0
P132,Satara,188,0,0,0,0.0562063232064247,0.8299479484558105,0.3191042378584438,0.0
P133,Satara,187,0,0,0,0.3212457597255707,0.7868819236755371,0.5291947986990373,0.0
P134,Satara,184,0,0,0,0.1170662939548492,0.8327423334121704,0.49707914378655993,0.0
P135,Satara,190,0,0,0,0.217012733221054,0.9112890958786012,0.566821088445814,0.0
P136,Satara,187,0,0,0,0.1097308471798896,0.7147549986839294,0.3172832299123473,0.0
P137,Satara,185,0,0,0,0.1702314615249633,0.6809571385383606,0.3996492853841266,0.0
P138,Satara,183,0,0,0,0.0517928302288055,0.8996350169181824,0.283456864883828,0.0
P139,Satara,203,0,0,0,0.1443687975406646,0.7733001112937927,0.4218779574033662,0.0
P140,Satara,190,0,0,0,0.0972933396697044,0.8977635502815247,0.4125348225235939,0.0
P141,Satara,200,0,0,0,0.2108570039272308,0.7857473492622375,0.4899886030703783,0.0
P142,Satara,198,0,0,0,0.1260853260755539,0.8461764454841614,0.5358851785310591,0.0
P143,Satara,194,0,0,1,0.1530054658651352,0.9629963636398317,0.4684191618844406,0.0
P144,Satara,192,0,0,0,0.098679095506668,0.7949829697608948,0.46610240805118036,0.0
P145,Satara,184,0,0,0,-0.0017574692610651,0.7947219610214233,0.2940156511828283,0.0
P146,Satara,188,0,0,0,0.0288924556225538,0.8755074143409729,0.36315392658233325,0.0
P147,Satara,176,0,0,0,0.1259968131780624,0.8308711051940918,0.44237035064196045,0.0
P148,Solapur,179,0,0,0,0.0806900411844253,0.7285318374633789,0.28824001217687595,0.0
P149,Solapur,186,0,0,0,0.0887573957443237,0.840203583240509,0.40514674266019174,0.0
P150,Solapur,195,0,0,0,0.1348547786474228,0.8554283976554871,0.4643216013144224,0.0
