point_id,district,records,ndvi_available,ndvi_mean,rainfall_mean,temperature_mean,ndvi_coverage_percent
P087,Nagpur,468,274,0.4491989006335935,26.504081966287185,26.81854530353106,58.54700854700855
P088,Nagpur,468,273,0.5560629770650969,25.058072383339546,25.837646301635964,58.333333333333336
P089,Nagpur,468,336,0.3554105434478038,24.891505483207013,26.290192597932258,71.7948717948718
P090,Nanded,468,273,0.4281096713337706,22.14201254939907,26.619450760198234,58.333333333333336
P091,Nanded,468,253,0.3721663403536907,20.924041338656142,27.07577152322066,54.059829059829056
P092,Nanded,468,274,0.4405257862713868,25.429318686475646,27.07229674234109,58.54700854700855
P093,Nanded,468,279,0.3652098623361425,20.51224383992031,26.980921524134818,59.61538461538461
P094,Nandurbar,468,343,0.577932205474759,19.65751985760328,25.905716871293446,73.29059829059828
P095,Nandurbar,468,276,0.4114993461340234,17.53293229415953,26.80063047909768,58.97435897435898
P096,Nandurbar,468,277,0.23541509473044084,16.04816780009425,26.321611643206285,59.18803418803419
P097,Nandurbar,468,277,0.47740992653563563,18.128143650456146,26.2736413639738,59.18803418803419
P098,Nashik,468,260,0.27471351155008256,15.584488461187783,23.805257301656635,55.55555555555556
P099,Nashik,468,259,0.2704022958313751,15.561810977171668,24.79633595905609,55.34188034188035
P100,Nashik,468,265,0.1894893869898229,16.220459844914355,23.57073720342804,56.623931623931625
P101,Nashik,468,285,0.46363498424751715,17.23292679906255,24.796020399597463,60.89743589743589
P102,Osmanabad,468,258,0.1907782413411972,17.800141823605774,25.772507357102487,55.12820512820513
P103,Osmanabad,468,259,0.35315419904686307,18.310524852194334,25.8633231484798,55.34188034188035
P104,Osmanabad,468,249,0.19589845282605373,17.887792644325565,25.836811409260545,53.205128205128204
P105,Osmanabad,468,314,0.27441206197165374,15.625366474722622,25.3936526777107,67.09401709401709
P106,Parbhani,468,269,0.33346475842218415,19.668715709686953,26.758096452432795,57.47863247863248
P107,Parbhani,468,273,0.4219786470735466,19.853908896327663,26.64243960087506,58.333333333333336
P108,Parbhani,468,262,0.5012303388585116,20.459762312926102,26.980005226709732,55.98290598290598
P109,Parbhani,468,267,0.3267860892002055,18.92159672435652,26.610720546817145,57.05128205128205
P110,Pune,468,270,0.540315027921288,14.621746646903087,26.46113738936045,57.692307692307686
P111,Pune,468,271,0.31156529345965467,15.265793221981827,25.859758889117202,57.90598290598291
P112,Pune,468,258,0.2603140663528858,14.250924289605697,25.884765665832965,55.12820512820513
P113,Pune,468,270,0.47191469757645216,15.425382433194065,26.60469816298714,57.692307692307686
P114,Raigarh,468,305,0.299965318231309,53.246231298567615,26.107573398284252,65.17094017094017
P115,Raigarh,468,299,0.18553485409091894,55.928020926624605,26.11582400004071,63.888888888888886
P116,Raigarh,468,303,0.703559945715536,46.638064857877445,26.027556979156504,64.74358974358975
P117,Raigarh,468,311,0.24918609123281724,55.963936584029256,26.247324629222007,66.45299145299145
P118,Sangli,468,316,0.3382367339468549,14.237045853860105,27.004445496816505,67.52136752136752
P119,Sangli,468,241,0.22352129920806996,12.77068142580875,25.775061046179616,51.49572649572649
P120,Sangli,468,248,0.4107324068224238,18.149028034220144,24.861553327679218,52.991452991452995
P121,Sangli,468,251,0.2025543093621968,14.62776814481982,25.025491496805376,53.63247863247863
P122,Satara,468,253,0.3031827742049816,31.256597556659568,23.56005006432293,54.059829059829056
P123,Satara,468,257,0.3279754841837901,21.204187802041627,24.10797952924458,54.91452991452992
