Run,MAE,RMSE,R2,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
2,0.04775190994744786,0.07075201387929167,0.8906945604664578,,0.6,1,2,500
313,0.04734898149853087,0.07075206331210113,0.8906944077279968,40.0,1.0,2,8,300
195,0.047626452901420195,0.0707538778586001,0.8906888010329025,30.0,0.8,1,4,700
272,0.0476636473463791,0.07075536910904096,0.890684193169802,40.0,0.8,1,2,500
70,0.0473333377184767,0.07076286884534168,0.8906610180190077,,1.0,2,8,300
144,0.04734431989844792,0.07076345553924557,0.8906592049557116,20.0,1.0,1,8,700
275,0.047622817321256915,0.07078818190958441,0.8905827792548799,40.0,0.8,1,4,500
245,0.047887393021937154,0.07079503901165439,0.8905615801967918,40.0,0.6,1,2,500
29,0.0476649566497222,0.07079564506508362,0.8905597064549468,,0.8,1,2,500
34,0.04757013575318535,0.07080430182764576,0.8905329404989852,,0.8,1,8,300
193,0.04767123315195219,0.0708364648297208,0.8904334666299146,30.0,0.8,1,4,300
274,0.04769093732956544,0.07084352045302046,0.8904116389261277,40.0,0.8,1,4,300
271,0.04772453604822222,0.07086882492729214,0.890333337590999,40.0,0.8,1,2,300
62,0.047538341681369785,0.07088274613690651,0.8902902483329058,,1.0,1,8,500
225,0.04750999777002854,0.07088665875484686,0.890278136381464,30.0,1.0,1,8,700
141,0.04751405809143472,0.07088919391963622,0.8902702881351446,20.0,1.0,1,4,700
63,0.04752119627548804,0.07089080513426786,0.8902653000652656,,1.0,1,8,700
304,0.04755586824927589,0.07089330211179021,0.8902575695872645,40.0,1.0,1,8,300
305,0.047556149999705435,0.07090298647793745,0.8902275848514101,40.0,1.0,1,8,500
306,0.04755027061451438,0.07091346318667836,0.8901951422521609,40.0,1.0,1,8,700
28,0.04772083572366849,0.0709208747008715,0.8901721885631638,,0.8,1,2,300
244,0.04795624107857721,0.07093049488244303,0.8901423909851798,40.0,0.6,1,2,300
139,0.047565313304468115,0.0709318406814101,0.8901382221813512,20.0,1.0,1,4,300
61,0.047603093783318916,0.07094352417596765,0.8901020275702407,,1.0,1,8,300
224,0.04755363522309471,0.07094782622214066,0.8900886986443892,30.0,1.0,1,8,500
223,0.047555240992494634,0.07095088732430485,0.8900792140132577,30.0,1.0,1,8,300
138,0.047577576431710907,0.07096375796865419,0.8900393306596912,20.0,1.0,1,2,700
140,0.04756520644795047,0.07096447345471076,0.890037113310313,20.0,1.0,1,4,500
137,0.047550062874728044,0.07100500960166749,0.8899114519868242,20.0,1.0,1,2,500
136,0.04757298107535126,0.07104489715360428,0.8897877312498209,20.0,1.0,1,2,300
303,0.047687652205077743,0.07106416511530167,0.8897279421918527,40.0,1.0,1,4,700
56,0.047755858409227914,0.07108175912332904,0.8896733333004456,,1.0,1,2,500
57,0.04775464148069521,0.07108224139254507,0.8896718362261973,,1.0,1,2,700
222,0.04773674334171357,0.0710977261555209,0.8896237625719585,30.0,1.0,1,4,700
221,0.047771679713084436,0.0711036074631795,0.8896055008498133,30.0,1.0,1,4,500
302,0.04774385272644728,0.07111436249264262,0.8895721020975518,40.0,1.0,1,4,500
219,0.04782615551849746,0.07112713362836617,0.8895324359525876,30.0,1.0,1,2,700
220,0.04782260654497687,0.07113979342685785,0.8894931085823583,30.0,1.0,1,4,300
55,0.04774487385458271,0.07114991007048302,0.8894616764323321,,1.0,1,2,300
60,0.04777376397089832,0.07115020441021659,0.8894607618594823,,1.0,1,4,700
218,0.047883816257523124,0.07118125843305832,0.889364249497631,30.0,1.0,1,2,500
301,0.04778652398406252,0.07118475410640383,0.8893533827063137,40.0,1.0,1,4,300
59,0.04780671328449565,0.07127652417416448,0.889067911669736,,1.0,1,4,500
58,0.047813001894408645,0.07128592122338834,0.8890386593170563,,1.0,1,4,300
300,0.04789236413214349,0.07131647151623377,0.8889435317580028,40.0,1.0,1,2,700
217,0.048018055819441706,0.0713170725384547,0.888941659885067,30.0,1.0,1,2,300
299,0.0479081799985101,0.07135067778743857,0.8888369718391835,40.0,1.0,1,2,500
298,0.047962736889623506,0.07144563385410731,0.8885408953860731,40.0,1.0,1,2,300
