Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,Rainfall_mm,Rainfall_Valid,CHIRPS_Days,rainfall_source,study_area,dataset
2017-01-01,2017-01-08,1.0,2017,P074,18.508328,76.870318,Latur,high,priority,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P075,18.414446,77.200532,Latur,high,priority,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P076,18.377877,76.253767,Latur,high,priority,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P077,18.059564,76.534905,Latur,high,priority,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P078,18.100882,76.960423,Latur,high,priority,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P079,18.735087,76.777975,Latur,high,priority,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P080,18.467915,76.301769,Latur,high,priority,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P081,18.103558,76.677016,Latur,high,priority,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P082,18.239079,76.678309,Latur,high,priority,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P083,18.369289,77.199962,Latur,high,priority,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P084,18.463626,76.822499,Latur,high,priority,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P085,18.147886,76.771946,Latur,high,priority,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P086,21.054127,79.56799,Nagpur,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P087,21.146765,79.474736,Nagpur,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P088,21.347804,78.614429,Nagpur,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P089,21.165377,78.706152,Nagpur,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
