Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,NDVI,Rainfall_mm,Temperature_C
2026-06-25,2026-07-02,26,2026,P073,17.96631489517353,76.86453107353908,Latur,high,priority,,32.02068351209164,25.258330190749405
2026-07-02,2026-07-09,27,2026,P073,17.96631489517353,76.86453107353908,Latur,high,priority,,13.48579116910696,24.190700422014515
2026-07-09,2026-07-16,28,2026,P073,17.96631489517353,76.86453107353908,Latur,high,priority,0.43909838795661926,0.7335179299116135,25.885879770914755
2026-07-16,2026-07-23,29,2026,P073,17.96631489517353,76.86453107353908,Latur,high,priority,,61.39219031482935,24.316748373849066
2026-07-23,2026-07-30,30,2026,P073,17.96631489517353,76.86453107353908,Latur,high,priority,,30.24236572533846,24.390513447352816
2026-07-30,2026-08-06,31,2026,P073,17.96631489517353,76.86453107353908,Latur,high,priority,,31.850137665867805,24.414605531238465
2026-08-06,2026-08-13,32,2026,P073,17.96631489517353,76.86453107353908,Latur,high,priority,0.5359116196632385,22.18577229976654,24.80272690909254
2026-08-13,2026-08-20,33,2026,P073,17.96631489517353,76.86453107353908,Latur,high,priority,,7.126157656311989,24.61387332734614
2026-08-20,2026-08-27,34,2026,P073,17.96631489517353,76.86453107353908,Latur,high,priority,,7.368026189506054,24.860705221266983
2026-08-27,2026-09-03,35,2026,P073,17.96631489517353,76.86453107353908,Latur,high,priority,,2.9138982072472572,24.808802722749306
2026-09-03,2026-09-10,36,2026,P073,17.96631489517353,76.86453107353908,Latur,high,priority,0.4909803867340088,5.119359135627747,24.36388422648116
2026-06-18,2026-06-25,25,2026,P074,18.508330314740576,76.87031898541534,Latur,high,priority,0.1172298714518547,9.388825304806232,29.972653325398824
2026-06-25,2026-07-02,26,2026,P074,18.508330314740576,76.87031898541534,Latur,high,priority,,37.60816599428654,25.661720257713682
2026-07-02,2026-07-09,27,2026,P074,18.508330314740576,76.87031898541534,Latur,high,priority,,7.659026585519314,24.636233811151442
2026-07-09,2026-07-16,28,2026,P074,18.508330314740576,76.87031898541534,Latur,high,priority,,0.49193254113197327,26.52649314517072
2026-07-16,2026-07-23,29,2026,P074,18.508330314740576,76.87031898541534,Latur,high,priority,,66.54134138673544,24.74132054646816
2026-07-23,2026-07-30,30,2026,P074,18.508330314740576,76.87031898541534,Latur,high,priority,,27.581135466694832,24.733612405686188
2026-07-30,2026-08-06,31,2026,P074,18.508330314740576,76.87031898541534,Latur,high,priority,,58.90067324787378,24.681334976922926
2026-08-06,2026-08-13,32,2026,P074,18.508330314740576,76.87031898541534,Latur,high,priority,0.2871360182762146,15.180190473794937,25.018047314598448
2026-08-13,2026-08-20,33,2026,P074,18.508330314740576,76.87031898541534,Latur,high,priority,,4.709124818444252,24.797153182256864
2026-08-20,2026-08-27,34,2026,P074,18.508330314740576,76.87031898541534,Latur,high,priority,,15.533538088202477,25.097242609659816
2026-08-27,2026-09-03,35,2026,P074,18.508330314740576,76.87031898541534,Latur,high,priority,0.7939953804016113,3.5486803874373436,25.041573370070694
