point_id,Year,Week_Number,Week_Start,Week_End,Rainfall_GSMaP,GSMaP_Image_Count
P001,2022,10,2022-03-05,2022-03-12,3.950236305594444,168
P001,2022,11,2022-03-12,2022-03-19,0.0,168
P001,2022,12,2022-03-19,2022-03-26,0.0,168
P001,2022,13,2022-03-26,2022-04-02,0.0,168
P001,2022,14,2022-04-02,2022-04-09,0.0,168
P001,2022,15,2022-04-09,2022-04-16,0.0,168
P001,2022,16,2022-04-16,2022-04-23,0.0,168
P001,2022,17,2022-04-23,2022-04-30,0.0,168
P001,2022,18,2022-04-30,2022-05-07,0.0,168
P001,2022,19,2022-05-07,2022-05-14,0.0,168
P001,2022,20,2022-05-14,2022-05-21,0.0,168
P001,2022,21,2022-05-21,2022-05-28,0.0,168
P001,2022,22,2022-05-28,2022-06-04,0.0,168
P001,2022,23,2022-06-04,2022-06-11,5.894905857741833,168
P001,2022,24,2022-06-11,2022-06-18,6.940871983766556,168
P001,2022,25,2022-06-18,2022-06-25,41.89011859893799,168
P001,2022,26,2022-06-25,2022-07-02,37.62518287450075,168
P001,2022,27,2022-07-02,2022-07-09,31.45120594650507,168
P001,2022,28,2022-07-09,2022-07-16,84.82349111884832,168
P001,2022,29,2022-07-16,2022-07-23,27.698730409145355,168
P001,2022,30,2022-07-23,2022-07-30,22.036181941628456,168
P001,2022,31,2022-07-30,2022-08-06,85.78700488060713,168
P001,2022,32,2022-08-06,2022-08-13,39.58504739403725,168
P001,2022,33,2022-08-13,2022-08-20,16.345147594809532,168
P001,2022,34,2022-08-20,2022-08-27,0.954016923904419,168
P001,2022,35,2022-08-27,2022-09-03,44.12186360359192,168
P001,2022,36,2022-09-03,2022-09-10,59.23934192955494,168
P001,2022,37,2022-09-10,2022-09-17,59.59867322444916,168
P001,2022,38,2022-09-17,2022-09-24,31.775307528674603,168
P001,2022,39,2022-09-24,2022-10-01,15.257578916847706,168
P001,2022,40,2022-10-01,2022-10-08,25.61401579529047,168
P001,2022,41,2022-10-08,2022-10-15,52.40653951466084,168
P001,2022,42,2022-10-15,2022-10-22,50.88275276869536,168
P001,2022,43,2022-10-22,2022-10-29,0.0,168
P001,2022,44,2022-10-29,2022-11-05,0.0,168
P001,2022,45,2022-11-05,2022-11-12,0.0,168
P001,2022,46,2022-11-12,2022-11-19,0.0,168
P001,2022,47,2022-11-19,2022-11-26,0.0,168
P001,2022,48,2022-11-26,2022-12-03,0.0,168
P001,2022,49,2022-12-03,2022-12-10,0.0,168
P001,2022,50,2022-12-10,2022-12-17,18.498800069093704,168
P001,2022,51,2022-12-17,2022-12-24,0.0,168
P001,2022,52,2022-12-24,2022-12-31,0.0,168
P001,2023,1,2023-01-01,2023-01-08,0.0,168
P001,2023,2,2023-01-08,2023-01-15,0.0,168
P001,2023,3,2023-01-15,2023-01-22,0.0,168
P001,2023,4,2023-01-22,2023-01-29,6.309300884604454,168
P001,2023,5,2023-01-29,2023-02-05,0.0,168
P001,2023,6,2023-02-05,2023-02-12,0.0,168
P001,2023,7,2023-02-12,2023-02-19,0.0,168
P001,2023,8,2023-02-19,2023-02-26,0.0,168
P001,2023,9,2023-02-26,2023-03-05,0.0,168
P001,2023,10,2023-03-05,2023-03-12,8.068373933434486,168
P001,2023,11,2023-03-12,2023-03-19,12.936322063207626,168
P001,2023,12,2023-03-19,2023-03-26,1.2117193043231964,168
P001,2023,13,2023-03-26,2023-04-02,0.0,168
P001,2023,14,2023-04-02,2023-04-09,3.4327243119478226,168
P001,2023,15,2023-04-09,2023-04-16,3.3996449559926987,168
P001,2023,16,2023-04-16,2023-04-23,1.9014408439397807,168
P001,2023,17,2023-04-23,2023-04-30,17.279727198183537,168
P001,2023,18,2023-04-30,2023-05-07,7.727568507194519,168
P001,2023,19,2023-05-07,2023-05-14,1.0287887379527092,168
P001,2023,20,2023-05-14,2023-05-21,0.0,168
P001,2023,21,2023-05-21,2023-05-28,0.0,168
P001,2023,22,2023-05-28,2023-06-04,0.183658018708229,168
P001,2023,23,2023-06-04,2023-06-11,9.833219699561596,168
P001,2023,24,2023-06-11,2023-06-18,1.2322262823581696,168
P001,2023,25,2023-06-18,2023-06-25,2.549559161067009,168
P001,2023,26,2023-06-25,2023-07-02,39.09383147954941,168
P001,2023,27,2023-07-02,2023-07-09,82.35298354178667,168
P001,2023,28,2023-07-09,2023-07-16,17.952122040092945,168
P001,2023,29,2023-07-16,2023-07-23,17.99546455591917,168
P001,2023,30,2023-07-23,2023-07-30,44.79870023578405,168
P001,2023,31,2023-07-30,2023-08-06,5.138273775577545,168
P001,2023,32,2023-08-06,2023-08-13,0.0,168
P001,2023,33,2023-08-13,2023-08-20,8.514797173440456,168
P001,2023,34,2023-08-20,2023-08-27,3.2905942797660828,168
P001,2023,35,2023-08-27,2023-09-03,0.4578369855880737,168
P001,2023,36,2023-09-03,2023-09-10,35.7875532656908,168
P001,2023,37,2023-09-10,2023-09-17,13.643601819872856,168
P001,2023,38,2023-09-17,2023-09-24,73.1742836534977,168
P001,2023,39,2023-09-24,2023-10-01,86.9080631583929,168
P001,2023,40,2023-10-01,2023-10-08,0.0,168
P001,2023,41,2023-10-08,2023-10-15,0.0,168
P001,2023,42,2023-10-15,2023-10-22,0.237299308180809,168
P001,2023,43,2023-10-22,2023-10-29,0.0,168
P001,2023,44,2023-10-29,2023-11-05,0.0,168
P001,2023,45,2023-11-05,2023-11-12,2.074641838669777,168
P001,2023,46,2023-11-12,2023-11-19,0.0,168
P001,2023,47,2023-11-19,2023-11-26,0.0,168
P001,2023,48,2023-11-26,2023-12-03,54.29748224467039,168
P001,2023,49,2023-12-03,2023-12-10,0.0,168
P001,2023,50,2023-12-10,2023-12-17,0.0,168
P001,2023,51,2023-12-17,2023-12-24,0.0,168
P001,2023,52,2023-12-24,2023-12-31,0.0,168
P001,2024,1,2024-01-01,2024-01-08,0.0,168
P001,2024,2,2024-01-08,2024-01-15,4.726904138922691,168
P001,2024,3,2024-01-15,2024-01-22,0.0,168
P001,2024,4,2024-01-22,2024-01-29,0.0,168
P001,2024,5,2024-01-29,2024-02-05,0.0,168
P001,2024,6,2024-02-05,2024-02-12,0.0,168
P001,2024,7,2024-02-12,2024-02-19,0.0,168
P001,2024,8,2024-02-19,2024-02-26,0.0,168
P001,2024,9,2024-02-26,2024-03-04,2.953930638730526,168
P001,2024,10,2024-03-04,2024-03-11,0.0,168
P001,2024,11,2024-03-11,2024-03-18,0.0,168
P001,2024,12,2024-03-18,2024-03-25,0.0,168
P001,2024,13,2024-03-25,2024-04-01,0.0,168
P001,2024,14,2024-04-01,2024-04-08,0.0,168
P001,2024,15,2024-04-08,2024-04-15,0.0,168
P001,2024,16,2024-04-15,2024-04-22,5.031244173645973,168
P001,2024,17,2024-04-22,2024-04-29,4.037799060344696,168
P001,2024,18,2024-04-29,2024-05-06,0.0,168
P001,2024,19,2024-05-06,2024-05-13,5.788887158036232,168
P001,2024,20,2024-05-13,2024-05-20,14.18745080381632,168
P001,2024,21,2024-05-20,2024-05-27,2.189987748861313,168
P001,2024,22,2024-05-27,2024-06-03,0.0,168
P001,2024,23,2024-06-03,2024-06-10,61.35314646363258,168
P001,2024,24,2024-06-10,2024-06-17,14.043478146195412,168
P001,2024,25,2024-06-17,2024-06-24,10.7783996835351,168
P001,2024,26,2024-06-24,2024-07-01,11.277449488639832,168
P001,2024,27,2024-07-01,2024-07-08,4.496802687644959,168
P001,2024,28,2024-07-08,2024-07-15,37.123374707996845,168
P001,2024,29,2024-07-15,2024-07-22,9.68636666983366,168
