point_id,latitude,longitude,cropland_percentage,cropland_threshold_percent,district,sampling_priority,region_type,grid_spacing_m,sampling_method,case_anchor_lat,case_anchor_lon,case_search_radius_m
P143,17.703793474650972,74.64682641823396,70.57224947311028,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P144,17.929450207288724,74.50474815764584,68.8285260931488,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P145,17.477733213849028,74.60017174272562,75.92604136724543,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P146,17.839180037893755,74.55218548644707,50.137730833572334,50,Satara,high,priority,5000,priority_agricultural_grid,,,
P147,17.927233301558573,73.94769952894042,93.04191707913613,50,Satara,case_study,case_study,1000,local_agricultural_maximum,17.941,73.958,5000
P148,17.678528822958707,76.08384115882944,55.910178568368565,50,Solapur,normal,statewide,10000,agricultural_grid_sampling,,,
P149,18.223363044642113,75.42514222116392,64.11101180615962,50,Solapur,normal,statewide,10000,agricultural_grid_sampling,,,
P150,17.952534780331796,75.2356193117337,82.65604863638994,50,Solapur,normal,statewide,10000,agricultural_grid_sampling,,,
P151,18.223689191803363,75.23598159561087,92.29295849414747,50,Solapur,normal,statewide,10000,agricultural_grid_sampling,,,
P152,19.658177111981193,72.94986194150268,64.61484466267567,50,Thane,normal,statewide,10000,agricultural_grid_sampling,,,
P153,19.657064286865232,72.85453325464725,66.44293800144854,50,Thane,normal,statewide,10000,agricultural_grid_sampling,,,
P154,19.47755079590927,72.95214532231272,73.22366512272855,50,Thane,normal,statewide,10000,agricultural_grid_sampling,,,
P155,19.839872430433584,73.042995386532,85.92056663169345,50,Thane,normal,statewide,10000,agricultural_grid_sampling,,,
P156,20.806749699755528,78.6013545415956,61.45116270586617,50,Wardha,normal,statewide,10000,agricultural_grid_sampling,,,
P157,20.710310837958872,78.88671090930701,96.24080943284277,50,Wardha,normal,statewide,10000,agricultural_grid_sampling,,,
P158,21.08126314953248,78.41566088966675,88.76240965291574,50,Wardha,normal,statewide,10000,agricultural_grid_sampling,,,
P159,20.439853581262913,78.87985974547199,98.62740748828462,50,Wardha,normal,statewide,10000,agricultural_grid_sampling,,,
P160,20.28918680789524,77.15403974427241,85.8741161847427,50,Washim,normal,statewide,10000,agricultural_grid_sampling,,,
P161,20.46460591610062,77.53975984526286,94.62275713939606,50,Washim,normal,statewide,10000,agricultural_grid_sampling,,,
P162,20.107393090303812,77.24714881804998,100.0,50,Washim,normal,statewide,10000,agricultural_grid_sampling,,,
P163,20.198886571511135,77.15279486906634,62.06159851804076,50,Washim,normal,statewide,10000,agricultural_grid_sampling,,,
P164,20.182852581037974,78.20447461347914,58.37585953159914,50,Yavatmal,normal,statewide,10000,agricultural_grid_sampling,,,
P165,19.8946577071307,79.05709784207775,69.62666463090717,50,Yavatmal,normal,statewide,10000,agricultural_grid_sampling,,,
P166,19.468789243088487,77.71426452982116,78.96010282410553,50,Yavatmal,normal,statewide,10000,agricultural_grid_sampling,,,
P167,19.559059046551575,77.7157725760002,93.25361344174006,50,Yavatmal,normal,statewide,10000,agricultural_grid_sampling,,,
