Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,NDVI,NDVI_Valid,Sentinel2_Images,Cloud_Probability_Threshold,Scene_Cloud_Threshold,Rainfall_mm,Rainfall_Valid,CHIRPS_Days,rainfall_source,Temperature_C,Temperature_Valid,ERA5_Days,temperature_source,study_area,dataset
2021-01-01,2021-01-08,1.0,2021,P043,21.57454889070615,80.25847249986273,Gondiya,normal,statewide,,,,,,5.777820110321045,1,7,CHIRPS Daily v2.0,21.598517717633968,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P044,21.21164941057252,80.34153217518526,Gondiya,normal,statewide,0.3080168664455414,1.0,71.0,65.0,80.0,3.272533416748047,1,7,CHIRPS Daily v2.0,22.03947056361608,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P045,19.655900266732623,77.2407892392464,Hingoli,normal,statewide,0.6039719581604004,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.81830240885415,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P046,19.566758377573187,77.1442675378435,Hingoli,normal,statewide,0.2831263542175293,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.734992327008968,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P047,19.47860194974656,76.9526242927685,Hingoli,normal,statewide,0.3920248448848724,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,23.125907970610115,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P048,19.927981235710728,77.14910120338544,Hingoli,normal,statewide,0.2198060303926468,1.0,71.0,65.0,80.0,2.6126978397369385,1,7,CHIRPS Daily v2.0,22.783332170758968,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P049,21.292738163229437,76.10816865346904,Jalgaon,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,23.5996570405506,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P050,21.386178625804387,75.43363151891216,Jalgaon,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,22.15827404203867,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P051,21.112064306745907,76.10682200495089,Jalgaon,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,23.341333007812523,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P052,20.84443797972019,75.23982115072519,Jalgaon,normal,statewide,0.4546539485454559,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,24.32423153831843,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P053,19.486369703781666,76.00005328932718,Jalna,normal,statewide,0.1805104464292526,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.772345842633968,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P054,20.028502750758555,76.00343774702675,Jalna,normal,statewide,0.2358530908823013,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.630058361235115,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P055,19.75743845682064,76.00172991132328,Jalna,normal,statewide,0.5844985246658325,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.56548897879469,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P056,19.57768317515413,75.80993951591351,Jalna,normal,statewide,0.4769271910190582,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.722692289806616,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P057,16.776377793156257,74.29671235971928,Kolhapur,normal,statewide,,,,,,1.0457031726837158,1,7,CHIRPS Daily v2.0,23.02807733444945,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P058,16.324416687682138,74.29834884980589,Kolhapur,normal,statewide,,,,,,1.175648212432861,1,7,CHIRPS Daily v2.0,22.96262439546132,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P059,16.595891218916975,74.39111598812178,Kolhapur,normal,statewide,,,,,,0.7348178029060364,1,7,CHIRPS Daily v2.0,23.17657296316969,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P060,16.414811584237594,74.29802779453004,Kolhapur,normal,statewide,,,,,,0.9784500002861024,1,7,CHIRPS Daily v2.0,23.1917445591518,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P061,18.5078556504114,76.91766048140843,Latur,high,priority,0.2957577109336853,1.0,71.0,65.0,80.0,2.5975453853607178,1,7,CHIRPS Daily v2.0,23.05940871465782,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
