Week_Start,Week_End,Week_Number,Year,point_id,CHIRPS_mm,GSMaP_mm,Difference_mm,Absolute_Difference_mm,Relative_Difference_Percent
2026-07-02,2026-07-09,27,2026,P080,6.989734649658203,2.201223611831665,-4.788511037826538,4.788511037826538,-68.50776571412042
2026-07-09,2026-07-16,28,2026,P080,0.0,4.301975280046463,4.301975280046463,4.301975280046463,
2026-07-16,2026-07-23,29,2026,P080,56.562458992004395,48.76579895615578,-7.7966600358486176,7.7966600358486176,-13.78416033318273
2026-07-23,2026-07-30,30,2026,P080,44.46628761291504,11.493676044046879,-32.97261156886816,32.97261156886816,-74.15193248399584
2026-07-30,2026-08-01,31,2026,P080,88.93257522583008,24.500307649374008,-64.43226757645607,64.43226757645607,-72.45069358763155
2026-06-18,2026-06-25,25,2026,P081,18.682178497314453,3.2778567895293236,-15.40432170778513,15.40432170778513,-82.45463295407164
2026-06-25,2026-07-02,26,2026,P081,46.54348373413086,37.60368412733078,-8.93979960680008,8.93979960680008,-19.207413991326188
2026-07-02,2026-07-09,27,2026,P081,0.0,11.669830732047558,11.669830732047558,11.669830732047558,
2026-07-09,2026-07-16,28,2026,P081,0.0,3.090169809758663,3.090169809758663,3.090169809758663,
2026-07-16,2026-07-23,29,2026,P081,55.10114860534668,65.89915301650763,10.798004411160946,10.798004411160946,19.596695685057234
2026-07-23,2026-07-30,30,2026,P081,52.86427068710327,25.82998152822256,-27.03428915888071,27.03428915888071,-51.13905631819484
2026-07-30,2026-08-01,31,2026,P081,75.52038669586182,25.56114476174116,-49.959241934120655,49.959241934120655,-66.1533184877855
2026-06-18,2026-06-25,25,2026,P082,22.05342674255371,3.6262730211019516,-18.42715372145176,18.42715372145176,-83.55687275526759
2026-06-25,2026-07-02,26,2026,P082,47.93375015258789,40.583529092371464,-7.350221060216427,7.350221060216427,-15.33412478017766
2026-07-02,2026-07-09,27,2026,P082,0.0,11.237737715244293,11.237737715244293,11.237737715244293,
2026-07-09,2026-07-16,28,2026,P082,0.0,3.1161850318312645,3.1161850318312645,3.1161850318312645,
2026-07-16,2026-07-23,29,2026,P082,68.70943641662598,66.96548968553543,-1.7439467310905457,1.7439467310905457,-2.538147337602894
2026-07-23,2026-07-30,30,2026,P082,55.91353940963745,24.80816239118576,-31.10537701845169,31.10537701845169,-55.631207301268184
2026-07-30,2026-08-01,31,2026,P082,87.8641357421875,28.02619044482708,-59.83794529736042,59.83794529736042,-68.10280985741211
2026-06-18,2026-06-25,25,2026,P083,37.208229064941406,11.18301560729742,-26.025213457643986,26.025213457643986,-69.9447786461991
2026-06-25,2026-07-02,26,2026,P083,52.72555351257324,37.978792421519756,-14.746761091053486,14.746761091053486,-27.968907121168275
2026-07-02,2026-07-09,27,2026,P083,9.298809051513672,12.521515361964703,3.2227063104510307,3.2227063104510307,34.65719419118983
2026-07-09,2026-07-16,28,2026,P083,0.0,0.5986292064189911,0.5986292064189911,0.5986292064189911,
2026-07-16,2026-07-23,29,2026,P083,55.077415466308594,87.47344699501991,32.39603152871132,32.39603152871132,58.819084473069175
2026-07-23,2026-07-30,30,2026,P083,68.83573007583618,49.05197188258171,-19.78375819325447,19.78375819325447,-28.74053659554238
2026-07-30,2026-08-01,31,2026,P083,76.48414134979248,33.394312620162964,-43.08982872962952,43.08982872962952,-56.338252569983815
2026-06-18,2026-06-25,25,2026,P084,26.542009353637695,6.960108682513237,-19.58190067112446,19.58190067112446,-73.77700915639484
2026-06-25,2026-07-02,26,2026,P084,47.60458946228027,37.674197755753994,-9.93039170652628,9.93039170652628,-20.860156171275616
2026-07-02,2026-07-09,27,2026,P084,11.744282722473145,10.135734736919403,-1.6085479855537415,1.6085479855537415,-13.696434457216547
2026-07-09,2026-07-16,28,2026,P084,0.0,0.5082845985889435,0.5082845985889435,0.5082845985889435,
2026-07-16,2026-07-23,29,2026,P084,71.2637071609497,68.38731252402067,-2.876394636929035,2.876394636929035,-4.036268602239107
2026-07-23,2026-07-30,30,2026,P084,82.95024681091309,28.462824389338493,-54.48742242157459,54.48742242157459,-65.68687197010983
