Week_Start,Week_End,Week_Number,Year,point_id,CHIRPS_mm,GSMaP_mm
2026-06-18,2026-06-25,25,2026,P073,15.410347938537598,1.5536686554551125
2026-06-25,2026-07-02,26,2026,P073,52.07652139663696,32.02068351209164
2026-07-02,2026-07-09,27,2026,P073,0.0,13.48579116910696
2026-07-09,2026-07-16,28,2026,P073,0.0,0.7335179299116135
2026-07-16,2026-07-23,29,2026,P073,51.73110866546631,61.39219031482935
2026-07-23,2026-07-30,30,2026,P073,52.55459785461426,30.24236572533846
2026-07-30,2026-08-01,31,2026,P073,75.22347831726074,22.42958964407444
2026-06-18,2026-06-25,25,2026,P074,19.123416900634766,9.388825304806232
2026-06-25,2026-07-02,26,2026,P074,53.38814067840576,37.60816599428654
2026-07-02,2026-07-09,27,2026,P074,10.677940368652344,7.659026585519314
2026-07-09,2026-07-16,28,2026,P074,0.0,0.49193254113197327
2026-07-16,2026-07-23,29,2026,P074,85.26210498809814,66.54134138673544
2026-07-23,2026-07-30,30,2026,P074,81.22250747680664,27.581135466694832
2026-07-30,2026-08-01,31,2026,P074,90.24723052978516,49.40910266339779
2026-06-18,2026-06-25,25,2026,P075,33.65203619003296,9.397008299827576
2026-06-25,2026-07-02,26,2026,P075,44.970481872558594,39.1711657717824
2026-07-02,2026-07-09,27,2026,P075,11.436162948608398,10.53805474191904
2026-07-09,2026-07-16,28,2026,P075,0.0,0.5988886505365372
2026-07-16,2026-07-23,29,2026,P075,58.38932228088379,86.88907999545336
2026-07-23,2026-07-30,30,2026,P075,73.8767499923706,53.0719435736537
2026-07-30,2026-08-01,31,2026,P075,82.08527565002441,41.79447674751282
2026-06-18,2026-06-25,25,2026,P076,18.011690139770508,1.44133859872818
2026-06-25,2026-07-02,26,2026,P076,40.5640344619751,46.05720487982035
2026-07-02,2026-07-09,27,2026,P076,7.533113956451416,3.4330781921744347
2026-07-09,2026-07-16,28,2026,P076,0.0,4.90209786593914
2026-07-16,2026-07-23,29,2026,P076,55.14790058135986,51.20139121264219
2026-07-23,2026-07-30,30,2026,P076,44.48946762084961,11.271841123700142
2026-07-30,2026-08-01,31,2026,P076,76.26765632629395,18.522050984203815
2026-06-18,2026-06-25,25,2026,P077,17.730791091918945,0.5177658349275589
2026-06-25,2026-07-02,26,2026,P077,45.552213191986084,37.07199990749359
2026-07-02,2026-07-09,27,2026,P077,10.491083145141602,9.887736469507217
2026-07-09,2026-07-16,28,2026,P077,0.0,3.6287604570388794
2026-07-16,2026-07-23,29,2026,P077,55.123008728027344,62.66998814791441
2026-07-23,2026-07-30,30,2026,P077,54.34176254272461,23.10404870659113
2026-07-30,2026-08-01,31,2026,P077,67.92720317840576,20.60975693911314
2026-06-18,2026-06-25,25,2026,P078,24.844935417175293,5.482310131192207
2026-06-25,2026-07-02,26,2026,P078,44.04661178588867,37.59627416729927
2026-07-02,2026-07-09,27,2026,P078,0.0,12.148284614086151
2026-07-09,2026-07-16,28,2026,P078,0.0,0.718842014670372
2026-07-16,2026-07-23,29,2026,P078,62.26522445678711,73.80088103562593
2026-07-23,2026-07-30,30,2026,P078,59.39534378051758,35.477468974888325
2026-07-30,2026-08-01,31,2026,P078,74.24417972564697,27.400451071560383
2026-06-18,2026-06-25,25,2026,P079,18.468732833862305,11.58830976486206
2026-06-25,2026-07-02,26,2026,P079,57.151347160339355,37.5541969537735
